DateTime,AddedIPs,RemovedIPs
1557977053,5,7
1557977775,6,8
1557978498,3,3
1557979222,11,10
1557979936,2,0
1557980648,5,6
1557981375,4,5
1557982115,9,6
1557982838,0,7
1557983535,3,6
1557984251,5,0
1557984980,3,7
1557985693,3,0
1557986424,7,10
1557987133,5,0
1557987853,9,9
1557988569,8,0
1557989298,4,12
1557990043,12,4
1557991002,5,3
1557991687,7,6
1557992416,11,6
1557993141,9,4
1557993879,3,3
1557994594,8,5
1557995317,3,2
1557996036,1,8
1557996755,6,0
1557997478,6,5
1557998201,2,7
1557998916,5,8
1557999636,4,4
1558000356,4,5
1558001077,4,6
1558001775,4,3
1558002494,6,5
1558003209,4,4
1558004151,8,2
1558004897,3,6
1558005606,4,3
1558006363,3,8
1558007050,2,9
1558007772,7,11
1558008497,4,10
1558009255,11,8
1558009942,5,2
1558010659,8,3
1558011381,4,15
1558012124,5,4
1558012831,10,6
1558013560,3,3
1558014273,4,8
1558015003,9,6
1558015689,2,9
1558016438,10,6
1558017132,5,4
1558017852,5,5
1558018570,5,3
1558019325,7,1
1558020006,3,9
1558021007,8,12
1558021696,6,0
1558023412,6,13
1558024095,12,3
1558024813,6,10
1558025529,5,0
1558026282,5,13
1558026999,6,7
1558027718,3,13
1558028407,5,0
1558029133,6,5
1558029853,5,0
1558030577,7,15
1558031288,6,0
1558032012,6,14
1558032732,2,0
1558033481,5,18
1558034196,6,0
1558034918,11,11
1558035643,7,6
1558036332,7,4
1558037054,5,10
1558037770,2,9
1558038493,11,7
1558039215,4,9
1558039945,5,5
1558040660,5,6
1558041374,6,8
1558042095,11,6
1558042809,3,11
1558043531,7,6
1558044525,6,7
1558045207,8,7
1558045939,11,7
1558046649,4,5
1558047370,10,4
1558048090,8,3
1558048820,7,5
1558049533,7,5
1558050257,6,6
1558050976,4,5
1558051719,7,7
1558052432,6,12
1558053160,8,10
1558053875,8,8
1558054870,5,14
1558055554,3,0
1558056278,8,9
1558056994,11,11
1558057717,11,8
1558058439,13,15
1558059162,12,0
1558059850,4,14
1558060576,7,2
1558061290,3,12
1558062027,5,4
1558062730,11,12
1558063480,5,11
1558064194,5,0
1558064919,4,6
1558065640,6,10
1558066359,7,4
1558067053,5,2
1558067767,5,0
1558068496,2,7
1558069464,4,11
1558070187,8,5
1558070890,6,3
1558071609,6,4
1558072356,5,7
1558073077,2,2
1558073805,9,4
1558074515,4,6
1558075233,8,3
1558075959,4,5
1558076677,4,6
1558077398,5,0
1558078115,6,8
1558078836,9,4
1558079568,5,4
1558080278,8,0
1558080974,5,10
1558081705,4,2
1558082436,5,6
1558083154,2,7
1558083886,3,10
1558084576,3,0
1558085291,8,7
1558086012,2,2
1558086757,3,10
1558087482,7,2
1558088196,4,8
1558088919,5,2
1558089609,3,0
1558090360,4,4
1558091077,4,5
1558091795,4,1
1558092518,3,4
1558093239,6,4
1558093931,5,9
1558094650,2,5
1558095375,6,5
1558096089,0,6
1558096842,4,9
1558097554,13,7
1558098282,0,3
1558098997,4,5
