DateTime,AddedIPs,RemovedIPs
1557909814,10,4
1557910533,8,6
1557911734,17,26
1557912453,9,15
1557913173,12,9
1557913893,11,27
1557914612,11,13
1557915333,6,9
1557916054,13,6
1557916773,8,8
1557917493,7,5
1557918932,16,15
1557919653,7,7
1557920853,15,9
1557922053,9,15
1557923253,17,16
1557923973,8,9
1557925054,11,10
1557925653,8,6
1557926372,6,7
1557927093,9,4
1557928293,21,20
1557929014,9,13
1557930932,24,15
1557931652,11,8
1557933814,25,25
1557934533,7,10
1557935253,6,8
1557935974,9,11
1557937173,15,12
1557937893,10,9
1557938612,10,6
1557939334,11,11
1557940053,11,8
1557940773,9,10
1557941493,6,71
1557942213,14,15
1557943893,22,15
1557944614,10,8
1557945333,12,5
1557946052,6,7
1557947733,15,23
1557949173,23,9
1557949893,14,11
1557951572,17,15
1557952293,11,7
1557953013,8,2
1557953734,2,10
1557954933,8,16
1557956853,24,29
1557958053,15,19
1557958773,7,8
1557959492,6,11
1557960693,23,20
1557961412,4,11
1557962133,9,10
1557963573,17,14
1557964293,8,7
1557965493,10,12
1557966212,10,6
1557966934,7,11
1557967652,2,9
1557970772,23,31
1557971492,5,6
1557972693,14,15
1557973412,4,5
1557974133,12,6
1557974852,3,9
1557976533,13,20
1557977253,8,6
1557977973,8,10
1557978693,3,10
1557979412,8,6
1557980852,15,13
1557982053,15,11
1557983253,16,7
1557984453,18,10
1557985172,7,3
1557985893,5,10
1557986613,11,12
1557987332,11,5
1557988052,8,9
1557988773,11,12
1557989973,11,10
1557991893,17,30
1557992613,9,12
1557993813,9,11
1557994533,8,15
1557995253,8,9
1557995973,8,9
1557996692,11,8
1557997412,8,7
1557998133,10,11
1557998853,11,13
1557999573,6,14
1558000293,279,12
1558001972,16,21
1558002692,5,12
1558003892,23,14
1558005094,15,12
1558005813,7,8
1558006534,2,9
1558007253,4,9
1558010132,41,37
1558010852,2,8
1558012052,14,13
1558012772,1,6
1558013492,5,8
1558014213,8,14
1558017573,33,40
1558018293,6,10
1558024293,63,74
1558026213,22,35
1558026934,14,11
1558028133,20,11
1558028852,9,11
1558030053,16,15
1558030773,9,10
1558031492,13,8
1558032213,12,9
1558033413,8,13
1558034133,9,9
1558034853,11,8
1558036053,15,22
1558037253,9,10
1558037973,8,7
1558038693,5,10
1558039412,27,8
1558040133,47,5
1558041572,13,7
1558042293,3,7
1558043013,7,11
1558043733,5,10
1558045413,16,24
1558046374,8,12
1558047093,8,14
1558047813,10,7
1558048534,9,12
